"","idDispositivo","tiempo_total","tiempo_absoluto_102","tiempo_absoluto_112","tiempo_absoluto_122","tiempo_absoluto_132","tiempo_absoluto_142","veces"
"1","000622A0FF88E6255893697B1194F7EFE6ABA704",2149,0,0,0,2084,65,8
"2","000826526A96BB6D28CAB7187E5CF67B9B4A0E45",231,32,0,0,199,0,3
"3","0019845D7091B9A568BEC138A35F21A062D34E2D",121,0,0,0,121,0,3
"4","001F6A371C85D6D5273E1430CEF9A9BEF2E3BCDE",54937,11322,38314,4485,129,687,6
"5","002367D1F1713040165FA53028A215064014D55B",574,0,0,0,574,0,6
"6","00237577E5EE6EB198635F0D679DF946ED36FAA7",61522,0,47187,116,4528,9691,5
"7","00303C50E3310DF941330041A9E3688851EE5D7C",79,0,0,0,79,0,5
"8","003D49ECE74132AB513E0ADC74359558D9A337F2",14217,35,13164,894,0,124,4
"9","0046E82219D0D13C06905A8930FC47725B1AEA70",2189,0,0,0,2189,0,5
"10","004CEAF7F5087F615ADF16A0D8F7CB66C64BA955",3881,231,2357,0,1095,198,5
"11","004DE0FB9EC036282B1E5FDCDE7D8BC4C2F530A6",44546,2942,36125,2389,924,2166,12
"12","0053A2282AC495321086083CEFE880564EF591BD",9739,0,9544,0,191,4,3
"13","00576694A62D8BCC9AE5272D0784F9FAD70D72C7",4,0,0,0,4,0,4
"14","00579AA084936B58F0622152772E11D52AC990A9",1600,0,0,0,1490,110,8
"15","005BF66F3BECB138B77876B4F0DB80CAED4F2FE0",14775,0,13834,257,670,14,4
"16","006770D94E1CC8E57EB20031CF4AC694C52A0FC9",62147,85,39543,19940,1789,790,11
"17","0068C93594804A3460AC40598F4E99D7A4E6E53D",1812,0,0,0,1107,705,13
"18","008A3CBD44D7B0D7B964C02078864F5EFB100F16",4748,878,2861,577,392,40,5
"19","009092BB0BBA56506C8EBCDEEA0240AE63F6B416",4752,0,0,0,3391,1361,3
"20","009E9D2FD7DB5099A5368B8865A08FEADC4A0491",9743,0,5729,0,274,3740,5
"21","00B2C953F130293192339B02085FA25F2A43260E",23778,0,11144,7896,1544,3194,6
"22","00B89C8A210239DAECE7839F5E29C650176EACB1",769945,21943,439173,57004,76811,175014,36
"23","00C9B9A61D200DE7813AACEC6BF2F9A02AC0EE18",1474,0,0,0,1474,0,4
"24","00CE52C185A285C8EC65AAAFE30E9F45B3356913",829,0,0,646,119,64,3
"25","00D2E01443C22CCD237B567CA03F09DB5CB76436",112,0,0,0,112,0,7
"26","00D61878E546BEE8622B945E5F76C827B9D6912B",8249,535,6679,616,10,409,5
"27","00EB6E891D027568BE976C0D7FD33F2DEBB1DC6E",29,0,0,0,29,0,4
"28","0111ECC6605BF9BEFAB289B78293D2906D12648A",9880,165,7679,0,313,1723,7
"29","013BA30673121A2753719C3121CDEB21D1C8E620",16421,6426,3709,3339,494,2453,3
"30","0148EEA25D5B2C0EED82BD539631E9BB1E611406",647,0,0,0,647,0,8
"31","0150FAE3D9BC852CE680AAF540279C781696420E",2731,0,0,0,2145,586,7
"32","0157FCCF98D16AC3AB3ABBD27A2FBDC67B55A061",12516,0,11198,782,375,161,3
"33","015A7DC83443B273D2D6A2035744166130B46E2D",344,0,0,0,313,31,8
"34","015BFBB4201913AB3C2054BD29E577B4ECAAE075",8037,0,3781,0,2814,1442,3
"35","0160348F62B01E62738560F69BDEDE72DF2E625C",9141,0,5737,660,761,1983,3
"36","0160A2812C9BEC6C3F16D58F3CA8D66741DF6F47",0,0,0,0,0,0,3
"37","01680CF5275716664914305EA4E0A98EBAAB9C48",94,0,0,0,94,0,5
"38","01698DBE7744E160F31F0F6E4BDF31906692198D",564,0,0,0,564,0,6
"39","016B07E39355C212216CA64160A5F24A6DF054E5",10812,0,5557,1206,3258,791,4
"40","01774BCFD96C10C7382A080D84D36AAFEBEC7B94",19798,0,19234,0,339,225,4
"41","017C34B310950E58539AF81770762B62F1E379B7",11902,0,6078,0,4457,1367,3
