"","idDispositivo","tiempo_total","tiempo_absoluto_102","tiempo_absoluto_112","tiempo_absoluto_122","tiempo_absoluto_132","tiempo_absoluto_142","veces"
"1","000622A0FF88E6255893697B1194F7EFE6ABA704",2149,0,0,0,2084,65,8
"2","001F6A371C85D6D5273E1430CEF9A9BEF2E3BCDE",54937,11322,38314,4485,129,687,6
"3","002367D1F1713040165FA53028A215064014D55B",574,0,0,0,574,0,6
"4","004DE0FB9EC036282B1E5FDCDE7D8BC4C2F530A6",44546,2942,36125,2389,924,2166,12
"5","00579AA084936B58F0622152772E11D52AC990A9",1600,0,0,0,1490,110,9
"6","005BF66F3BECB138B77876B4F0DB80CAED4F2FE0",14775,0,13834,257,670,14,7
"7","006770D94E1CC8E57EB20031CF4AC694C52A0FC9",62147,85,39543,19940,1789,790,11
"8","0068C93594804A3460AC40598F4E99D7A4E6E53D",1812,0,0,0,1107,705,13
"9","00B2C953F130293192339B02085FA25F2A43260E",23778,0,11144,7896,1544,3194,7
"10","00B89C8A210239DAECE7839F5E29C650176EACB1",769945,21943,439173,57004,76811,175014,39
"11","00D2E01443C22CCD237B567CA03F09DB5CB76436",112,0,0,0,112,0,7
"12","0111ECC6605BF9BEFAB289B78293D2906D12648A",9880,165,7679,0,313,1723,7
"13","0148EEA25D5B2C0EED82BD539631E9BB1E611406",647,0,0,0,647,0,8
"14","0150FAE3D9BC852CE680AAF540279C781696420E",2731,0,0,0,2145,586,9
"15","015A7DC83443B273D2D6A2035744166130B46E2D",344,0,0,0,313,31,8
"16","01698DBE7744E160F31F0F6E4BDF31906692198D",564,0,0,0,564,0,6
"17","019EE8A984E1CBA18EDF58C4E5FB3F7C061FA149",62946,422,59808,1674,667,375,8
"18","01C99EBB9A1C8B9D8D93FB486DD00452CD30E64C",22361,0,15634,5877,850,0,10
"19","01CCE5313579E5CC0CFBEC3189F3CD204CDE3AF4",20377,134,18200,60,979,1004,6
"20","01D59887040C2F1B3A6C7A02EBF945AEA9A28CD5",1940,0,0,0,1940,0,10
"21","01D81AB64B444FA2A900EDC2331A66FF97A7D4B1",42577,1421,27940,6254,1031,5931,6
"22","01DA50C327A6143E854813E7FAD5216275A25859",76399,1077,12481,858,2254,59729,12
"23","01DC2F4D906A6267AC444E85CA276DD3E9E723CB",52406,0,48084,1845,325,2152,11
"24","01EDF13890E208B2A2522D83B9C6AFB6F3C343B6",4114,0,0,0,3989,125,6
"25","0208150F072B2F0EB73A7F7EA2FFE12C5D7A3C6A",830,0,0,0,830,0,8
"26","024D63BB43B54FFAD66691D53EDE795C309634C4",46214,0,12961,10437,7278,15538,6
"27","026C80FCCA91D48A6C8F1F77ADF7D9FC61696274",864,0,0,0,864,0,8
"28","026CBC5803688B1704ECDE7F37194F4DF749D2D8",193,0,0,0,193,0,14
"29","02711E52547BF1855811DDA59D4ED0390ED632B2",323,14,0,304,5,0,7
"30","0274D88D89C96319E4B2EF9E0850512E9A7B0396",6474,0,6474,0,0,0,11
"31","0282348362869BFB5B7F6A034DF084EE282ABB73",36,0,0,0,36,0,18
"32","02911D15E45323DEB83C76A71317A010DCCA8B73",3969,0,0,0,3912,57,7
"33","0299DB67ECC525D0B3F6755C9B21821959E9C0EA",11,0,0,0,11,0,7
"34","02C84DACC4AA41CDE99780373DC6ED796C2D5BFF",56522,0,29373,14596,462,12091,6
"35","02F8FFCAB188AB9D5A203E9A1F3B64A2C99950CA",10,0,0,0,10,0,11
"36","037B94B9115D070855C8EA08302454E0DC848E40",181192,99434,76719,924,1081,3034,26
"37","03923F9D4C294E122D83BDD1F8CC47B426314BBD",458,0,0,0,435,23,7
"38","03A58C491D536D5EA360170BB5D477C5A2972866",224,0,0,0,224,0,15
"39","03AC0A337EBB8010E96F4CD56D267D68290DBF9C",345,0,69,0,276,0,7
"40","0413665A18E101B72E9802A8CEDFC28902913DEB",197166,6921,149197,41048,0,0,14
"41","042A56509C53B2058702437B37BE591EAA695456",19956,451,18718,73,460,254,9
