"","idSensor","idDispositivo","tinicio","tfin","Obsoleto","duracion_s","tDB","sincio","sfin","fabricante","naturaleza","etiqueta","majordeviceclass","minordeviceclass","serviceclass"
"1","112","3CD9D47B68DCEBC49BA74BAA0CDAC9847F4DE0D5",2015-09-26 23:19:30,2015-09-27 09:42:17,0,37366,"2015-09-26 23:24:03.406",-80,-80,"BQ","WIFI",NA,"","",""
"2","142","B2C6AD99AF179BC63854113BD0D0E8D3C7D70D31",2015-09-27 06:35:41,2015-09-27 07:55:38,0,4796,"2015-09-27 06:37:36.153",-77,-75,"APPLE","WIFI",NA,"","",""
"3","112","F95ED49624974BC32CF972158EA93CB4FA2A8F14",2015-09-27 06:46:36,2015-09-27 07:52:25,0,3948,"2015-09-27 09:31:34.873",-73,-75,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"4","102","C0BD842341C702F3D1B1ECB069041EB5A8C6C475",2015-09-27 06:39:44,2015-09-27 07:49:08,0,4163,"2015-09-27 06:41:46.012",-76,-79,"SAMSUNG ELECTRONICS","BLUETOOTH",NA,"","",""
"5","132","B2C6AD99AF179BC63854113BD0D0E8D3C7D70D31",2015-09-27 06:35:39,2015-09-27 07:47:34,0,4315,"2015-09-27 06:37:52.374",-80,-77,"APPLE","WIFI",NA,"","",""
"6","112","1D29D440581C480719F7CC6CFBEC007D31C7E014",2015-09-27 06:25:48,2015-09-27 07:44:21,0,4713,"2015-09-27 09:02:49.625",-69,-76,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"7","112","D11C7FECB44471EC0AC610C1DCD8E5A62CE796EC",2015-09-27 06:25:04,2015-09-27 07:43:34,0,4709,"2015-09-27 09:02:49.625",-76,-80,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"8","112","01D81AB64B444FA2A900EDC2331A66FF97A7D4B1",2015-09-27 06:08:57,2015-09-27 07:42:41,0,5623,"2015-09-27 08:43:40.639",-76,-79,"BQ","WIFI",NA,"","",""
"9","112","0053A2282AC495321086083CEFE880564EF591BD",2015-09-27 06:56:59,2015-09-27 07:42:16,0,2716,"2015-09-27 09:41:10.224",-74,-74,"APPLE","WIFI",NA,"","",""
"10","112","0D266AD84EF82785B110198EE7B205B46D172552",2015-09-27 06:17:56,2015-09-27 07:41:35,0,5018,"2015-09-27 08:53:15.790",-78,-78,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"11","112","037B94B9115D070855C8EA08302454E0DC848E40",2015-09-27 06:57:40,2015-09-27 07:40:40,0,2580,"2015-09-27 09:41:10.224",-62,-65,"APPLE","BLUETOOTH",NA,"","",""
"12","112","ECD18585F2AEFB156E4B8629E6FA52A3DEF52797",2015-09-27 06:56:02,2015-09-27 07:39:06,0,2583,"2015-09-27 09:41:10.224",-77,-66,"APPLE","WIFI",NA,"","",""
"13","112","8F0D4209ADF56CAF1D68C06791963706C237D239",2015-09-27 05:15:42,2015-09-27 07:36:42,0,8460,"2015-09-27 07:07:15.779",-70,-73,"APPLE","WIFI",NA,"","",""
"14","112","50DCE3CCD578E514C5DAA9D5BF933F467A813D0D",2015-09-27 06:48:01,2015-09-27 07:36:35,0,2914,"2015-09-27 09:31:34.873",-76,-71,"SAMSUNG ELEC","WIFI",NA,"","",""
"15","112","AAB6164A77C3AE745F72B5AFC042A37CB4BC57EB",2015-09-27 06:00:17,2015-09-27 07:36:10,0,5752,"2015-09-27 08:24:32.308",-79,-76,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"16","112","75FD7F5127CC47A60046E910EAF941C26CAFAD23",2015-09-27 06:51:03,2015-09-27 07:36:09,0,2705,"2015-09-27 09:31:34.873",-78,-74,"LG ELECTRONICS","WIFI",NA,"","",""
"17","132","6E37FC08FF4B925F8C77366AC34FF48EB75CDA60",2015-09-27 06:45:25,2015-09-27 07:35:57,0,3032,"2015-09-27 06:48:15.252",-50,-53,"APPLE","BLUETOOTH",NA,"","",""
"18","112","211557540A3134F64BA07D61653F86DAD77A8330",2015-09-27 06:19:11,2015-09-27 07:35:09,0,4558,"2015-09-27 08:53:15.790",-62,-71,"BQ","WIFI",NA,"","",""
"19","112","289D842F20A6D5ABE68115A1638E6B385187C266",2015-09-27 06:23:14,2015-09-27 07:34:59,0,4305,"2015-09-27 09:02:49.625",-64,-64,"APPLE","WIFI",NA,"","",""
"20","112","7E15462AEE442BDDBA94BB6757354CB9E1386518",2015-09-27 06:47:35,2015-09-27 07:34:30,0,2815,"2015-09-27 09:31:34.873",-79,-77,"SAMSUNG ELECTRO MECHANICS","WIFI",NA,"","",""
"21","112","F58B7E07CC002078A707C9AE9680991D73F031A1",2015-09-27 06:55:56,2015-09-27 07:34:24,0,2308,"2015-09-27 09:41:10.224",-72,-77,"SAMSUNG ELECTRONICS","WIFI",NA,"","",""
"22","112","F17B14675CA7B932A66AE9001953AC5DCC18630F",2015-09-27 06:53:39,2015-09-27 07:34:23,0,2444,"2015-09-27 09:31:34.873",-75,-72,"APPLE","WIFI",NA,"","",""
"23","112","4D8B9ED24F4BB731AF415559A420AE57E40A01AB",2015-09-27 06:59:27,2015-09-27 07:34:10,0,2083,"2015-09-27 09:41:10.224",-80,-80,"HUAWEI TECHNOLOGIES","WIFI",NA,"","",""
"24","142","C9A5F25D03BF37F70FAD4866665B33F700F67968",2015-09-27 06:56:05,2015-09-27 07:34:07,0,2281,"2015-09-27 06:59:28.667",-78,-80,"APPLE","WIFI",NA,"","",""
"25","112","71F1B3E45FDD2390DE983D9843D19AE35AA77B9A",2015-09-27 05:56:21,2015-09-27 07:33:53,0,5852,"2015-09-27 08:24:32.308",-66,-63,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
"26","112","FA913D434829EB46F78579B6A0265A7D2CF5C7AB",2015-09-27 06:43:55,2015-09-27 07:33:24,0,2968,"2015-09-27 09:21:57.387",-69,-75,"WISOL","WIFI",NA,"","",""
"27","112","4D094EE9154A9137C27695F254B930C7CF51BD5B",2015-09-27 06:50:59,2015-09-27 07:32:53,0,2513,"2015-09-27 09:31:34.873",-68,-68,"SONY MOBILE MUNICATIONS AB","WIFI",NA,"","",""
