"";"Fecha";"Calle";"Espiras";"Mobywit"
"1";2016-09-01 00:00:00;"Beiro-Andalucía";22;8
"2";2016-09-01 00:00:00;"Constitución";71;6
"3";2016-09-01 00:00:00;"Dr-Oloriz";0;14
"4";2016-09-01 00:00:00;"Méndez-Núñez";86;71
"5";2016-09-01 00:15:00;"Beiro-Andalucía";23;11
"6";2016-09-01 00:15:00;"Constitución";72;4
"7";2016-09-01 00:15:00;"Dr-Oloriz";0;18
"8";2016-09-01 00:15:00;"Méndez-Núñez";102;43
"9";2016-09-01 00:30:00;"Beiro-Andalucía";19;6
"10";2016-09-01 00:30:00;"Constitución";69;7
"11";2016-09-01 00:30:00;"Dr-Oloriz";0;19
"12";2016-09-01 00:30:00;"Méndez-Núñez";90;24
"13";2016-09-01 00:45:00;"Beiro-Andalucía";19;5
"14";2016-09-01 00:45:00;"Constitución";56;6
"15";2016-09-01 00:45:00;"Dr-Oloriz";0;11
"16";2016-09-01 00:45:00;"Méndez-Núñez";79;16
"17";2016-09-01 01:00:00;"Beiro-Andalucía";13;5
"18";2016-09-01 01:00:00;"Constitución";72;3
"19";2016-09-01 01:00:00;"Dr-Oloriz";0;9
"20";2016-09-01 01:00:00;"Méndez-Núñez";113;11
"21";2016-09-01 01:15:00;"Beiro-Andalucía";19;4
"22";2016-09-01 01:15:00;"Constitución";48;4
"23";2016-09-01 01:15:00;"Dr-Oloriz";0;10
"24";2016-09-01 01:15:00;"Méndez-Núñez";98;49
"25";2016-09-01 01:30:00;"Beiro-Andalucía";15;4
"26";2016-09-01 01:30:00;"Constitución";32;3
"27";2016-09-01 01:30:00;"Dr-Oloriz";0;12
"28";2016-09-01 01:30:00;"Méndez-Núñez";67;25
"29";2016-09-01 01:45:00;"Beiro-Andalucía";15;1
"30";2016-09-01 01:45:00;"Constitución";31;4
"31";2016-09-01 01:45:00;"Dr-Oloriz";0;14
"32";2016-09-01 01:45:00;"Méndez-Núñez";61;20
"33";2016-09-01 02:00:00;"Beiro-Andalucía";12;4
"34";2016-09-01 02:00:00;"Constitución";34;6
"35";2016-09-01 02:00:00;"Dr-Oloriz";0;6
"36";2016-09-01 02:00:00;"Méndez-Núñez";53;11
"37";2016-09-01 02:15:00;"Beiro-Andalucía";5;1
"38";2016-09-01 02:15:00;"Constitución";25;1
