DoW,Mon,Hour,Detected,Real
Monday,10,0,3,25
Saturday,10,0,3,54
Monday,10,0,2,8
Tuesday,10,0,16,314
Saturday,10,0,2,41
Wednesday,10,0,1,23
Wednesday,10,2,6,155
Friday,10,0,29,244
Monday,10,2,6,449
Saturday,10,2,5,65
Thursday,10,0,3,45
Sunday,10,1,3,119
Tuesday,10,1,19,219
Friday,10,1,12,322
Thursday,10,0,1,33
Saturday,10,1,7,210
Saturday,10,1,7,216
Monday,10,2,19,435
Thursday,10,1,11,261
Friday,10,1,16,224
Monday,10,0,5,39
Wednesday,10,0,9,241
Thursday,10,1,18,246
Wednesday,10,1,13,207
Saturday,10,1,7,225
Friday,10,0,5,82
Thursday,10,0,8,235
Friday,10,0,19,150
Wednesday,10,0,1,34
Saturday,10,0,2,41
Monday,10,1,11,209
Friday,10,2,5,178
Wednesday,10,2,8,60
Sunday,10,2,2,69
Monday,10,0,1,51
Saturday,10,1,21,340
Friday,10,0,1,35
Thursday,10,1,18,183
Sunday,10,1,9,202
Sunday,10,2,6,125
Thursday,10,0,2,25
Wednesday,10,0,3,58
Friday,10,1,5,327
Tuesday,10,1,12,230
Friday,10,1,14,404
Tuesday,10,0,10,249
Tuesday,10,0,12,276
Friday,10,1,19,298
Sunday,10,2,5,268
Thursday,10,0,3,18
Sunday,10,0,1,62
Sunday,10,2,8,371
Monday,10,0,5,14
Sunday,10,2,2,139
Thursday,10,2,3,76
Tuesday,10,0,4,27
Wednesday,10,1,18,237
Saturday,10,0,4,60
Friday,10,1,16,218
Saturday,10,0,1,37
Tuesday,10,0,12,148
Wednesday,10,1,12,243
Sunday,10,0,2,61
Tuesday,10,1,7,191
Monday,10,0,1,15
Monday,10,1,8,262
Saturday,10,0,1,34
Sunday,10,1,8,196
Thursday,10,0,5,30
Thursday,10,0,2,46
Thursday,10,1,20,282
Saturday,10,2,7,132
Friday,10,1,24,328
Tuesday,10,0,2,29
Tuesday,10,2,7,98
Tuesday,10,0,1,23
Sunday,10,1,8,217
Saturday,10,1,11,177
Thursday,10,0,7,96
Monday,10,1,10,121
Thursday,10,1,15,186
Tuesday,10,1,7,178
Friday,10,1,22,389
Monday,10,1,6,194
Wednesday,10,1,9,297
Sunday,10,1,7,158
Friday,10,0,3,69
Wednesday,10,2,2,42
Tuesday,10,1,12,250
Thursday,10,0,2,30
Thursday,10,1,17,275
Wednesday,10,0,7,46
Thursday,10,1,18,287
Monday,10,0,1,14
Wednesday,10,0,10,204
Thursday,10,1,9,222
Monday,10,2,12,180
Tuesday,10,0,3,16
Thursday,10,1,18,236
Monday,10,2,1,79
Wednesday,10,1,15,196
Friday,10,1,10,519
Sunday,10,0,2,22
Monday,10,0,10,243
Saturday,10,0,3,110
Thursday,10,1,12,244
Thursday,10,1,7,233
Wednesday,10,1,8,225
Wednesday,10,1,22,190
Thursday,10,1,10,253
Sunday,10,1,5,134
Sunday,10,1,6,139
Saturday,10,0,4,133
Thursday,10,0,6,59
Monday,10,0,2,12
Thursday,10,1,14,263
Thursday,10,1,14,208
Sunday,10,1,16,380
Tuesday,10,1,11,254
Friday,10,0,17,230
Saturday,10,0,9,89
Saturday,10,0,3,126
Thursday,10,0,9,70
Tuesday,10,0,20,261
Tuesday,10,0,2,19
Thursday,10,2,7,120
Monday,10,0,16,297
Friday,10,0,2,29
Friday,10,1,25,296
Saturday,10,1,6,238
Saturday,10,2,5,195
Friday,10,2,3,83
Thursday,10,1,12,201
Thursday,10,1,18,294
Friday,10,0,4,26
Thursday,10,2,7,87
Friday,10,0,3,24
Thursday,10,0,5,21
Friday,10,0,2,35
Thursday,10,1,14,274
Tuesday,10,1,18,222
Wednesday,10,1,16,255
Wednesday,10,1,14,209
Thursday,10,1,13,250
Wednesday,10,0,4,45
Tuesday,10,1,9,187
Monday,10,1,11,194
Friday,10,1,17,293
Saturday,10,0,2,61
Sunday,10,0,5,34
Monday,10,0,1,14
Thursday,10,1,11,313
Friday,10,1,10,489
Thursday,10,0,1,21
Sunday,10,1,9,209
Sunday,10,0,9,48
Sunday,10,0,3,49
Friday,10,1,13,302
Monday,10,1,10,174
Thursday,10,2,2,177
Saturday,10,1,24,442
Thursday,10,1,10,185
Tuesday,10,1,12,191
Tuesday,10,0,2,22
Friday,10,1,19,404
Sunday,10,0,2,46
Monday,10,1,10,239
Tuesday,10,0,1,20
Monday,10,1,19,245
Thursday,10,1,10,240
Monday,10,1,11,271
Thursday,10,1,15,261
Tuesday,10,2,2,73
Tuesday,10,2,5,71
Friday,10,0,7,65
Saturday,10,0,5,126
Sunday,10,1,8,174
Wednesday,10,0,2,32
Monday,10,1,9,277
Sunday,10,2,7,113
Thursday,10,0,14,272
Saturday,10,2,4,163
Tuesday,10,1,8,209
Friday,10,1,20,386
Saturday,10,1,5,222
Thursday,10,1,8,267
Thursday,10,2,3,43
Thursday,10,1,8,200
Tuesday,10,2,4,144
Thursday,10,0,17,153
Monday,10,0,15,281
Sunday,10,1,10,421
Wednesday,10,2,3,61
Thursday,10,1,14,239
Wednesday,10,2,6,67
Tuesday,10,0,5,27
Saturday,10,2,2,85
Friday,10,0,13,268
Saturday,10,1,4,200
Thursday,10,1,15,240
Saturday,10,1,4,160
Thursday,10,1,15,308
Thursday,10,1,12,249
