5
#n time_102	time_112	time_122	time_132	time_142
2488	2033	692	177	297
0	243	0	0	0
35	0	0	0	0
0	861	0	0	0
0	0	0	0	0
1409	1614	0	106	213
0	0	0	129	129
0	0	0	257	0
0	7510	0	191	4
0	0	0	47	0
178	41	0	0	0
0	0	0	0	243
1135	1068	554	406	564
92	707	2009	0	0
2675	745	2279	0	0
874	0	0	0	29
27	748	0	12	0
0	0	0	0	0
1975	1006	0	0	0
0	0	0	471	0
359	0	0	0	0
2235	2557	356	146	146
0	188	0	0	0
0	3436	0	360	138
0	0	0	0	0
0	0	0	32	0
0	143	0	0	0
134	4753	0	199	86
0	975	0	0	1174
1381	7365	2558	426	654
0	0	0	0	0
0	0	0	203	0
632	2123	0	0	4
0	0	0	0	0
299	0	0	15	101
0	2164	0	465	0
103	413	1106	0	0
133	1400	36	0	0
0	0	0	0	0
2754	766	0	1950	1231
0	2075	53	5	532
958	2250	120	0	0
0	0	0	0	0
919	0	0	0	0
0	68	0	503	178
647	6298	0	625	1141
0	0	0	0	0
18	380	0	326	3194
0	0	0	0	0
121	4122	0	0	121
4223	8578	3567	6668	8909
1	5771	3355	370	578
20744	8889	628	0	0
10	8	30	30	15
0	3388	63	485	857
0	445	1	0	0
120	1154	205	0	33
0	0	0	0	0
0	0	0	0	0
0	1700	9159	0	0
218	1518	0	0	299
0	907	0	0	0
0	0	0	0	0
0	241	0	0	0
2290	219	0	45	91
0	0	0	3	0
0	0	0	68	0
0	2265	2222	58	4820
2144	567	0	304	308
12	5428	0	181	196
0	0	0	279	0
122	6257	996	0	0
6795	35	0	0	25
2300	3174	1059	204	551
0	4251	7	145	145
16	0	0	0	0
0	0	0	0	0
377	134	950	122	202
32	2959	1464	0	0
0	3286	136	181	317
0	0	0	0	0
0	0	0	2949	707
0	0	0	0	0
0	8150	0	0	1088
26	941	0	174	1296
209	4204	0	149	413
0	0	0	0	0
260	530	0	128	128
852	3397	0	0	0
441	732	276	4	5
1615	2811	0	0	854
28	41	0	0	0
945	1241	159	547	2414
424	2894	182	741	988
35	0	0	498	68
590	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	1805	6715	293	309
0	1628	60	0	63
0	4343	3650	0	0
0	0	0	90	0
0	0	0	728	0
0	0	0	0	0
45	454	0	0	279
0	4178	3508	151	0
0	1246	318	302	264
34	1393	5976	70	33
0	0	0	0	0
41	498	0	0	0
35	0	0	26	35
1665	4221	24	0	0
185	0	0	0	0
58	0	0	56	0
3861	8702	7821	350	437
0	0	2998	0	0
0	2616	392	153	284
646	0	0	412	478
0	0	0	0	0
0	0	0	0	5
11	0	0	151	12
0	0	0	0	0
0	0	0	0	0
5688	2415	2759	708	2261
0	0	0	10	0
13	6322	196	325	475
642	500	0	0	0
0	0	0	0	0
260	2590	243	561	3449
0	427	0	7	97
0	0	0	0	0
0	7024	471	3470	4704
0	0	0	0	0
301	3820	584	1486	2953
0	0	0	199	305
0	0	0	700	603
0	0	0	0	0
0	10	0	0	0
121	0	0	0	0
31	9660	863	31	62
576	1767	855	885	1874
0	0	0	0	0
1155	1985	598	2750	3948
0	0	0	598	0
0	2227	0	0	48
0	0	0	9	0
0	0	0	80	0
51	1154	408	60	957
77	0	0	0	0
0	1562	0	0	521
0	0	0	0	0
0	0	0	0	0
64	11895	0	991	2195
21	14778	12932	69	13
0	938	0	94	12
410	1065	6296	40	193
1110	0	0	0	15
