5
#n time_relat_102	time_relat_112	time_relat_122	time_relat_132	time_relat_142
0.43748901	0.357481976	0.121681027	0.031123615	0.052224371
0	1	0	0	0
1	0	0	0	0
0	1	0	0	0
0.42160383	0.482944345	0	0.031717534	0.063734291
0	0	0	0.5	0.5
0	0	0	1	0
0	0.974691759	0	0.024789098	0.000519143
0	0	0	1	0
0.812785388	0.187214612	0	0	0
0	0	0	0	1
0.304534478	0.286557553	0.148645023	0.1089348	0.151328146
0.032763533	0.251780627	0.71545584	0	0
0.469380593	0.130724689	0.399894718	0	0
0.967884828	0	0	0	0.032115172
0.034307497	0.950444727	0	0.015247776	0
0.662529353	0.337470647	0	0	0
0	0	0	1	0
1	0	0	0	0
0.410845588	0.470036765	0.065441176	0.026838235	0.026838235
0	1	0	0	0
0	0.873411286	0	0.091509914	0.0350788
0	0	0	1	0
0	1	0	0	0
0.025908739	0.918986852	0	0.038476411	0.016627997
0	0.453699395	0	0	0.546300605
0.111514858	0.594718992	0.206556848	0.034399225	0.052810078
0	0	0	1	0
0.229068503	0.769481696	0	0	0.001449801
0.720481928	0	0	0.036144578	0.243373494
0	0.823126664	0	0.176873336	0
0.06350185	0.254623921	0.681874229	0	0
0.084767368	0.892288082	0.022944551	0	0
0.410983435	0.114311297	0	0.291001343	0.183703925
0	0.778611632	0.01988743	0.001876173	0.199624765
0.287860577	0.676081731	0.036057692	0	0
1	0	0	0	0
0	0.090787717	0	0.671562083	0.2376502
0.074273907	0.722993916	0	0.071748364	0.130983814
0.004594181	0.096988259	0	0.083205717	0.815211843
0.027726856	0.944546288	0	0	0.027726856
0.132195962	0.268524026	0.111660667	0.208733761	0.278885585
9.92556E-05	0.57280397	0.333002481	0.036724566	0.057369727
0.685502792	0.293744424	0.020752784	0	0
0.107526882	0.086021505	0.322580645	0.322580645	0.161290323
0	0.706864177	0.013144169	0.101189234	0.17880242
0	0.997757848	0.002242152	0	0
0.079365079	0.763227513	0.135582011	0	0.021825397
0	0.156552169	0.843447831	0	0
0.107125307	0.745945946	0	0	0.146928747
0	1	0	0	0
0	1	0	0	0
0.865784499	0.082797732	0	0.017013233	0.034404537
0	0	0	1	0
0	0	0	1	0
0	0.241857982	0.237266418	0.006193273	0.514682328
0.64520012	0.17062895	0	0.091483599	0.092687331
0.002062919	0.933127041	0	0.031115695	0.033694344
0	0	0	1	0
0.016542373	0.84840678	0.135050847	0	0
0.991247265	0.005105762	0	0	0.003646973
0.315587267	0.435510428	0.145307355	0.027991218	0.075603732
0	0.93469657	0.001539138	0.031882146	0.031882146
1	0	0	0	0
0.211204482	0.075070028	0.532212885	0.068347339	0.113165266
0.007182941	0.664197531	0.328619529	0	0
0	0.838265306	0.034693878	0.046173469	0.080867347
0	0	0	0.806619256	0.193380744
0	0.88222559	0	0	0.11777441
0.010668855	0.386130488	0	0.071399261	0.531801395
0.04201005	0.845025126	0	0.029949749	0.083015075
0.248565966	0.506692161	0	0.122370937	0.122370937
0.200517769	0.799482231	0	0	0
0.302469136	0.502057613	0.189300412	0.002743484	0.003429355
0.305871212	0.532386364	0	0	0.161742424
0.405797101	0.594202899	0	0	0
0.178100264	0.233886167	0.029966076	0.103090841	0.454956653
0.08108625	0.553451903	0.03480589	0.141709696	0.188946261
0.058236273	0	0	0.828618968	0.113144759
1	0	0	0	0
0	0.197873273	0.736132427	0.032120149	0.03387415
0	0.929754426	0.034266134	0	0.03597944
0	0.543350432	0.456649568	0	0
0	0	0	1	0
0	0	0	1	0
0.057840617	0.583547558	0	0	0.358611825
0	0.53311216	0.447620263	0.019267577	0
0	0.584976526	0.149295775	0.141784038	0.123943662
0.00452971	0.185584865	0.79616307	0.009325873	0.004396483
0.07606679	0.92393321	0	0	0
0.364583333	0	0	0.270833333	0.364583333
0.281725888	0.714213198	0.004060914	0	0
1	0	0	0	0
0.50877193	0	0	0.49122807	0
0.182372113	0.411033962	0.369420434	0.016532049	0.020641443
0	0	1	0	0
0	0.759361393	0.113788099	0.044412192	0.082438316
0.420572917	0	0	0.268229167	0.311197917
0	0	0	0	1
0.063218391	0	0	0.867816092	0.068965517
0.41125009	0.174607765	0.19947943	0.051189357	0.163473357
0	0	0	1	0
0.001773292	0.862365298	0.02673578	0.044332288	0.064793343
0.562171629	0.437828371	0	0	0
0.036604252	0.364634661	0.034210897	0.078980712	0.485569478
0	0.804143126	0	0.013182674	0.1826742
0	0.448273661	0.030059353	0.221456379	0.300210607
0.03291776	0.41776028	0.063867017	0.162510936	0.322944007
0	0	0	0.39484127	0.60515873
0	0	0	0.537221796	0.462778204
0	1	0	0	0
1	0	0	0	0
0.002911618	0.90729783	0.081055696	0.002911618	0.005823237
0.096692966	0.296625818	0.143528622	0.148564714	0.31458788
0.110674588	0.190206976	0.057301648	0.263510924	0.378305864
0	0	0	1	0
0	0.978901099	0	0	0.021098901
0	0	0	1	0
0	0	0	1	0
0.019391635	0.43878327	0.15513308	0.022813688	0.363878327
1	0	0	0	0
0	0.749879981	0	0	0.250120019
0.004225817	0.785407725	0	0.065434137	0.144932321
0.000755043	0.531334268	0.464962428	0.002480854	0.000467407
0	0.898467433	0	0.090038314	0.011494253
0.051224388	0.133058471	0.786606697	0.004997501	0.024112944
0.986666667	0	0	0	0.013333333
0	0.710742521	0.214230352	0.028987754	0.046039374
0.014010508	0.534150613	0.1558669	0	0.295971979
0.019151847	0.765389877	0	0.087209302	0.128248974
0	0.970267592	0	0	0.029732408
0.858115778	0.000756716	0.141127507	0	0
0	0	0	1	0
0.824869483	0	0.175130517	0	0
0	0	0	1	0
0.000289939	0.659321542	0	0.01304726	0.327341258
0.341672378	0.60740233	0	0.004729267	0.046196025
0.268965517	0.731034483	0	0	0
0.084667165	0.271353777	0.047569185	0.100074794	0.496335079
0.131227475	0.368666525	0.370574518	0.015263939	0.114267543
1	0	0	0	0
0	0.852459016	0.147540984	0	0
1	0	0	0	0
0	0	0	1	0
0.046583851	0.730590062	0.222826087	0	0
0	0.767387493	0.091759205	0	0.140853302
0	0.572463768	0.427536232	0	0
0.078026906	0.006576981	0.76083707	0	0.154559043
0.302356021	0.697643979	0	0	0
1	0	0	0	0
0.087884126	0.746134273	0.095517714	0	0.070463887
0	0	0	1	0
0.912521441	0	0	0.087478559	0
0	0.004395897	0.995604103	0	0
1	0	0	0	0
0.003624979	0.943977591	0	0.027187346	0.025210084
0.207064555	0.792935445	0	0	0
0.072522983	0	0	0.927477017	0
0.073375262	0.914046122	0.012578616	0	0
0.014362657	0.921962896	0.01101137	0.013165769	0.039497307
0.009577603	0.86910609	0.00589391	0.057711198	0.057711198
0	1	0	0	0
1	0	0	0	0
0.151811386	0.797584819	0.050603795	0	0
0	0.202072539	0.622913069	0	0.175014393
0	1	0	0	0
0.48865372	0.490835697	0	0	0.020510583
1	0	0	0	0
0	0	0	1	0
0	0	0	1	0
0	0.914267016	0.085732984	0	0
0.200099387	0.039423555	0	0	0.760477058
0	1	0	0	0
0	0.091512565	0	0	0.908487435
0.000137334	0.413445032	0.058504429	0.028702877	0.499210328
0.774475524	0	0	0.113636364	0.111888112
0	0	0	1	0
0	0	0	1	0
0	0.571568388	0	0.05725471	0.371176902
0	0.623476721	0.376523279	0	0
0	0.765545362	0.234454638	0	0
0	0	0	0.774483378	0.225516622
0	0	0	0.62962963	0.37037037
0	0.307824888	0	0.257583592	0.43459152
0	0	0	0.749253731	0.250746269
0.005260851	0.992985533	0.001753617	0	0
0	0	0	1	0
0.045771302	0.868546088	0	0.038169148	0.047513462
0	0.097352426	0.854228907	0.032450809	0.015967858
0	0	0	1	0
0.054772835	0.945227165	0	0	0
0	0	1	0	0
0	1	0	0	0
0	0	0	1	0
0.235294118	0	0	0.305882353	0.458823529
0.032476802	0.577444682	0.389364739	0.000713776	0
0	0	0	0.936026936	0.063973064
0.018088871	0.427447896	0	0.044828942	0.50963429
0.016971494	0.762563849	0.192453452	0.020761246	0.007249959
0.121387904	0.654420453	0.127618434	0.045762166	0.050811043
0	0.228132712	0.559912257	0	0.211955032
0	0	0	1	0
0	0	0	1	0
0	0	0	0.559734513	0.440265487
0.051297772	0.441446965	0.254649499	0.088289393	0.16431637
0	0.584620233	0.415379767	0	0
0	0	0	1	0
0	0	0	1	0
1	0	0	0	0
0	0	0	0.868895733	0.131104267
0	0.011684518	0.007789679	0	0.980525803
0	0	1	0	0
0.02175424	0.856686127	0.104045038	0.008757298	0.008757298
0.062490146	0.607505124	0.097177695	0.031902034	0.200925001
0.860215054	0	0	0.139784946	0
0	0.982788296	0.017211704	0	0
0.363453815	0.636546185	0	0	0
0.037069215	0.905589343	0	0	0.057341442
0.197247706	0.056574924	0	0.022324159	0.723853211
0.485812286	0.514187714	0	0	0
0	1	0	0	0
0	0	0	0	1
0	0.844530103	0.11123348	0.022026432	0.022209985
0.183962264	0.514150943	0.301886792	0	0
