19
#n ent_time	out_time	stay_time	total_time	abs_time_n102	abs_time_n112	abs_time_n122	abs_time_n132	abs_time_n142	rel_time_vic_n102	rel_time_vic_n112	rel_time_vic_n122	rel_time_vic_n132	rel_time_vic_n142	rel_time_nig_n102	rel_time_nig_n112	rel_time_nig_n122	rel_time_nig_n132	rel_time_nig_n142
26639.27339	37303.26755	10663.99416	5687	2488	2033	692	177	297	0.43748901	0.357481976	0.121681027	0.031123615	0.052224371	0.053162393	0.043440171	0.014786325	0.003782051	0.006346154
26059.27372	28142.27258	2082.998858	243	0	243	0	0	0	0	1	0	0	0	0	0.005192308	0	0	0
19922.27708	19957.27706	34.99998083	35	35	0	0	0	0	1	0	0	0	0	0.000747863	0	0	0	0
20748.27663	26147.27367	5398.997041	861	0	861	0	0	0	0	1	0	0	0	0	0.018397436	0	0	0
28148.27257	37757.26731	9608.994734	3342	1409	1614	0	106	213	0.42160383	0.482944345	0	0.031717534	0.063734291	0.030106838	0.034487179	0	0.002264957	0.004551282
65.28796379	194.2878937	128.9999299	258	0	0	0	129	129	0	0	0	0.5	0.5	0	0	0	0.00275641	0.00275641
2507.286625	2765.286484	257.9998586	257	0	0	0	257	0	0	0	0	1	0	0	0	0	0.005491453	0
27399.27298	43243.2643	15843.99132	7705	0	7510	0	191	4	0	0.974691759	0	0.024789098	0.000519143	0	0.160470085	0	0.004081197	8.55E-05
7504.283887	7551.283861	46.99997454	47	0	0	0	47	0	0	0	0	1	0	0	0	0	0.001004274	0
18100.27808	34073.26933	15972.99125	219	178	41	0	0	0	0.812785388	0.187214612	0	0	0	0.003803419	0.000876068	0	0	0
3262.286212	3872.285878	609.9996656	243	0	0	0	0	243	0	0	0	0	1	0	0	0	0	0.005192308
12984.28088	20552.27674	7567.995852	3727	1135	1068	554	406	564	0.304534478	0.286557553	0.148645023	0.1089348	0.151328146	0.024252137	0.022820513	0.011837607	0.008675214	0.012051282
29718.27171	37053.26769	7334.99598	2808	92	707	2009	0	0	0.032763533	0.251780627	0.71545584	0	0	0.001965812	0.015106838	0.04292735	0	0
27955.27268	36367.26807	8411.99539	5699	2675	745	2279	0	0	0.469380593	0.130724689	0.399894718	0	0	0.05715812	0.015918803	0.048696581	0	0
14973.27979	49310.26097	34336.98118	6283	2286	3724	0	0	273	0.36383893	0.592710489	0	0	0.043450581	0.048846154	0.07957265	0	0	0.005833333
22495.27567	33164.26982	10668.99415	787	27	748	0	12	0	0.034307497	0.950444727	0	0.015247776	0	0.000576923	0.015982906	0	0.00025641	0
23618.27505	30577.27124	6958.996186	2981	1975	1006	0	0	0	0.662529353	0.337470647	0	0	0	0.042200855	0.021495726	0	0	0
6851.284245	7323.283986	471.9997416	471	0	0	0	471	0	0	0	0	1	0	0	0	0	0.010064103	0
13551.28057	13911.28038	359.9998026	359	359	0	0	0	0	1	0	0	0	0	0.00767094	0	0	0	0
21261.27635	29390.27189	8128.995544	5440	2235	2557	356	146	146	0.410845588	0.470036765	0.065441176	0.026838235	0.026838235	0.04775641	0.054636752	0.007606838	0.003119658	0.003119658
31295.27085	40897.26558	9601.994737	434	246	188	0	0	0	0.566820276	0.433179724	0	0	0	0.00525641	0.004017094	0	0	0
23324.27522	31883.27053	8558.995309	3934	0	3436	0	360	138	0	0.873411286	0	0.091509914	0.0350788	0	0.073418803	0	0.007692308	0.002948718
23418.27516	28687.27228	5268.997112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2263.286759	2296.286741	32.99998208	32	0	0	0	32	0	0	0	0	1	0	0	0	0	0.000683761	0
27615.27286	32745.27005	5129.997188	143	0	143	0	0	0	0	1	0	0	0	0	0.003055556	0	0	0
20295.27688	27473.27294	7177.996066	5172	134	4753	0	199	86	0.025908739	0.918986852	0	0.038476411	0.016627997	0.002863248	0.101559829	0	0.004252137	0.001837607
24619.27451	33308.26974	8688.995238	2149	0	975	0	0	1174	0	0.453699395	0	0	0.546300605	0	0.020833333	0	0	0.02508547
